p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
7.221393869355128e-105	2.6422910110139153	0.147	0.027	2.711850039758931e-100	HSC MPP	NYNRIN
7.057888301993647e-128	2.6305365886842096	0.158	0.026	2.650448794047674e-123	HSC MPP	INHBA
1.1473489033378066e-80	2.6146413467038983	0.128	0.026	4.308639336704465e-76	HSC MPP	SYTL4
1.927422619727931e-129	2.609361644692872	0.162	0.027	7.2380501638643e-125	HSC MPP	DYTN
2.4618735793231294e-123	2.6038470165730363	0.136	0.02	9.245073852432148e-119	HSC MPP	LOX
9.586855491802899e-164	2.576887717928754	0.226	0.042	3.600151842836743e-159	HSC MPP	SHANK3
2.3111984602243016e-165	2.567512912552174	0.199	0.032	8.67924357768032e-161	HSC MPP	FOXC1
0	2.5567850992349594	0.526	0.107	0	HSC MPP	MDK
4.3226557567801745e-108	2.5414495179334278	0.153	0.029	1.623286916343659e-103	HSC MPP	AC090630.1
5.193771633580258e-261	2.5394300696936853	0.437	0.1	1.950417061558394e-256	HSC MPP	GNAI1
2.138745718241683e-186	2.516659015297036	0.133	0.013	8.031631795712992e-182	HSC MPP	PRSS2
3.3137500065389434e-90	2.5036227951792416	0.149	0.031	1.2444125399555693e-85	HSC MPP	SPNS2
0	2.499362489460154	0.674	0.169	0	HSC MPP	EGFL7
2.484091651011473e-148	2.4825746868309766	0.208	0.039	9.328509377043385e-144	HSC MPP	TCTEX1D1
0	2.4791221586651537	0.56	0.136	0	HSC MPP	NPDC1
2.4384850208950268e-95	2.474374455707177	0.155	0.032	9.157242798967095e-91	HSC MPP	PDZD2
5.8954287564138226e-120	2.468855191883156	0.205	0.045	2.213910360896083e-115	HSC MPP	KRT18
9.915278152677256e-78	2.461858320907899	0.148	0.034	3.72348440467489e-73	HSC MPP	NT5E
1.9194298027024938e-305	2.4602784449703603	0.378	0.065	7.208034738088675e-301	HSC MPP	CAVIN1
1.8283043068300638e-255	2.451003194170303	0.369	0.072	6.865831163438939e-251	HSC MPP	RAMP1
3.17499649555948e-136	2.449822948162196	0.224	0.047	1.1923064339774516e-131	HSC MPP	PRAME
0	2.4462850161949183	0.679	0.14	0	HSC MPP	CD34
5.954204042062722e-147	2.4311287626087714	0.199	0.036	2.235982243915814e-142	HSC MPP	GCSAML
1.6223016881583496e-55	2.4283746910171295	0.109	0.026	6.09222952954105e-51	HSC MPP	BAALC-AS2
0	2.4283580072793134	0.414	0.066	0	HSC MPP	DLK1
9.54902242414035e-81	2.422803830988663	0.151	0.035	3.5859443909374254e-76	HSC MPP	GPC6
2.847125310302383e-49	2.4212345533344	0.12	0.033	1.069180967777854e-44	HSC MPP	VWDE
1.3289913189808165e-72	2.418610750679841	0.134	0.03	4.99076110016866e-68	HSC MPP	CLDN10
1.7268670655943277e-116	2.408119391251234	0.174	0.034	6.484903891426379e-112	HSC MPP	KRT8
4.954241308579945e-47	2.4046903141794687	0.103	0.026	1.8604662386110267e-42	HSC MPP	LINC01088
1.0335079040324883e-133	2.3960449481179853	0.242	0.055	3.881132232013203e-129	HSC MPP	MN1
1.7072154993256008e-71	2.392475238379909	0.133	0.03	6.411106364617429e-67	HSC MPP	NOG
2.637444723092935e-98	2.3906388646096675	0.108	0.016	9.9043961686309e-94	HSC MPP	MFAP2
1.6408345859433206e-178	2.3896605959439263	0.231	0.04	6.161826120592952e-174	HSC MPP	MDFI
2.4542902624749693e-132	2.3833145381552407	0.273	0.069	9.216596222672252e-128	HSC MPP	TSPAN2
0	2.3813048924160496	0.481	0.103	0	HSC MPP	CKB
6.443788303152253e-62	2.371612851728707	0.123	0.029	2.4198358214827657e-57	HSC MPP	CNN3
1.0955761905332079e-88	2.3641508766252306	0.156	0.035	4.114217268309356e-84	HSC MPP	NECAB1
0	2.3598560077971755	0.78	0.316	0	HSC MPP	NRIP1
6.188161063376502e-234	2.353188073078162	0.28	0.045	2.323840124129778e-229	HSC MPP	MYCN
7.170632556964086e-70	2.3486474345215242	0.156	0.041	2.692787644116723e-65	HSC MPP	ARMCX1
0	2.348357602143075	0.673	0.127	0	HSC MPP	SPINK2
0	2.346565544182916	0.471	0.094	0	HSC MPP	BAALC
8.219630778723814e-294	2.3351520583593555	0.522	0.129	3.086717946334154e-289	HSC MPP	LAPTM4B
3.5675595233181173e-78	2.3348343800041595	0.164	0.041	1.3397256277916526e-73	HSC MPP	SCARF1
0	2.3317077989619843	0.684	0.184	0	HSC MPP	FAM30A
6.954847292503109e-153	2.3217729113679666	0.271	0.061	2.6117538037536925e-148	HSC MPP	PDE6G
1.675792141820197e-118	2.3188360430402035	0.222	0.052	6.293102230177386e-114	HSC MPP	SPAG6
5.549239721622459e-180	2.316727382031462	0.263	0.051	2.083905992660882e-175	HSC MPP	SLC18A2
4.5942709627367907e-153	2.3154609685577947	0.315	0.081	1.725286574636547e-148	HSC MPP	KCNQ1OT1
1.9519408396729457e-71	2.3099831536847595	0.12	0.025	7.330123435223813e-67	HSC MPP	EFCC1
2.1414706355902532e-117	2.3093907728439835	0.223	0.053	8.041864677832077e-113	HSC MPP	MAPK12
7.062705756681421e-52	2.307593319920734	0.116	0.03	2.6522578928065743e-47	HSC MPP	AC011997.1
4.8904054225454135e-49	2.301835988906236	0.106	0.027	1.8364939483284793e-44	HSC MPP	IQSEC3
1.6354997858926551e-267	2.287711969613323	0.645	0.224	6.141792345962688e-263	HSC MPP	MBOAT7
2.2699920967058506e-62	2.277340373080299	0.15	0.041	8.524501320759481e-58	HSC MPP	SENCR
1.8081944141231316e-77	2.276919620835368	0.136	0.03	6.790312483356595e-73	HSC MPP	TMEM163
5.4387255313504805e-28	2.265501277704699	0.13	0.053	2.042404598788046e-23	HSC MPP	GRK4
1.1045231108399986e-51	2.2507519216865473	0.128	0.036	4.147815638137447e-47	HSC MPP	LINC01515
2.4127665031019442e-46	2.237315666376124	0.1	0.025	9.060662049098732e-42	HSC MPP	KIAA1257
6.43100380316221e-77	2.232250481252007	0.121	0.024	2.4150348582015047e-72	HSC MPP	FAM171B
2.9256935849545076e-50	2.2315915225282525	0.106	0.026	1.0986857119579662e-45	HSC MPP	LOXL1-AS1
0	2.229545900537402	0.503	0.11	0	HSC MPP	HPGD
1.3601987076926374e-54	2.2285631101451133	0.125	0.033	5.107954206998161e-50	HSC MPP	GPR27
5.0091502687227404e-86	2.220018585687508	0.226	0.067	1.8810862004134507e-81	HSC MPP	SLC2A5
3.0021822797975142e-77	2.2161715371759616	0.161	0.04	1.1274095115323605e-72	HSC MPP	CACNB4
2.9428767766362187e-100	2.2148639054185284	0.237	0.066	1.1051385159301992e-95	HSC MPP	ARHGAP22
1.85822238048893e-79	2.1867559955253895	0.141	0.031	6.978182505450079e-75	HSC MPP	OBSL1
5.945539207515759e-201	2.184392559018577	0.432	0.119	2.232728338598393e-196	HSC MPP	MEST
1.2361395152798437e-34	2.178302733051944	0.107	0.034	4.642074721730397e-30	HSC MPP	SLC16A5
7.419648482679701e-207	2.1653392473709605	0.46	0.13	2.7863005947007083e-202	HSC MPP	MAP7
3.745438240378571e-52	2.16033501209489	0.115	0.029	1.4065244224093648e-47	HSC MPP	THBS3
0	2.1602052988424854	0.573	0.137	0	HSC MPP	SMIM24
4.80580834553514e-76	2.1577277523825025	0.153	0.037	1.804725207998811e-71	HSC MPP	MIR99AHG
5.536650900597067e-99	2.1415757710304577	0.157	0.032	2.0791785127012166e-94	HSC MPP	MPL
1.9766500496744775e-97	2.141402973049094	0.273	0.085	7.422913931542566e-93	HSC MPP	HOMER3
6.711816542299221e-251	2.1364108508807647	0.514	0.14	2.5204884661296266e-246	HSC MPP	FSCN1
6.115093687445284e-217	2.135752498741051	0.419	0.104	2.2964011324463274e-212	HSC MPP	CYTL1
1.1487613288081365e-132	2.132618172598379	0.192	0.036	4.313943418073195e-128	HSC MPP	ADARB2
1.157377028377585e-217	2.129371760747393	0.336	0.068	4.346297954666345e-213	HSC MPP	PROM1
1.1588997020926118e-70	2.128493699499777	0.145	0.035	4.352016051268385e-66	HSC MPP	SPON1
2.383935112015522e-252	2.127724874908486	0.615	0.208	8.95239152615189e-248	HSC MPP	TSC22D1
5.987264635703895e-62	2.1159244824877224	0.154	0.043	2.2483974886458838e-57	HSC MPP	HOXA7
1.6151245700313725e-35	2.1136206691936135	0.101	0.031	6.065277297838813e-31	HSC MPP	PDE9A
1.7919859060351606e-187	2.110987321378172	0.301	0.063	6.729444672933839e-183	HSC MPP	MMRN1
6.730574378496647e-53	2.108057603432709	0.126	0.034	2.527532596356846e-48	HSC MPP	CLDN15
1.5496493332589914e-107	2.1043723504166296	0.268	0.077	5.819398141187491e-103	HSC MPP	HSPA1B
3.3473039506984857e-41	2.103783988093603	0.115	0.035	1.2570130526058023e-36	HSC MPP	CRYGD
2.1923035083206346e-143	2.100900651141513	0.283	0.068	8.232757364796478e-139	HSC MPP	LNCAROD
2.9463195105621e-40	2.1004740506713766	0.12	0.038	1.1064313658013854e-35	HSC MPP	ZP3
7.505858002602165e-37	2.0951690873141313	0.1	0.03	2.818674855717191e-32	HSC MPP	ZNF667
2.5805514812005955e-54	2.0906122647190433	0.165	0.053	9.690744977352596e-50	HSC MPP	SPACA9
3.0977651001993444e-32	2.089453163339959	0.104	0.034	1.1633037280778597e-27	HSC MPP	MLF1
9.54472630508385e-50	2.083385253543282	0.112	0.029	3.5843310693481385e-45	HSC MPP	NBL1
2.0763263995358133e-43	2.0774988531804914	0.116	0.034	7.79722852817684e-39	HSC MPP	CHST13
1.541306537411103e-48	2.074805876592423	0.167	0.058	5.788068439939915e-44	HSC MPP	CBX2
8.881895875415644e-53	2.074277219561865	0.124	0.033	3.3354183580948366e-48	HSC MPP	SH3BP4
4.40596394998097e-131	2.0741399115574306	0.347	0.107	1.6545716421363538e-126	HSC MPP	NR6A1
6.948407727955298e-66	2.0711955595646545	0.145	0.037	2.609335554079053e-61	HSC MPP	PARD3
7.65499473632973e-154	2.06304007255365	0.452	0.157	2.8746801733339038e-149	HSC MPP	ZNRF1
5.676672908828271e-97	2.059808065254397	0.266	0.081	2.1317609774522806e-92	HSC MPP	ZNF467
3.123841129963691e-57	2.0561022311506667	0.141	0.039	1.173096059535265e-52	HSC MPP	GATA2-AS1
3.507577204142442e-226	2.046004325023641	0.485	0.133	1.3172004674716113e-221	HSC MPP	MSRB3
4.076872328516304e-173	2.0431970375527495	0.427	0.128	1.5309878655277278e-168	HSC MPP	EVA1B
4.818502076089025e-93	2.042612661217302	0.192	0.048	1.8094920846337114e-88	HSC MPP	HSPG2
1.0767488595335297e-171	2.0407985463710774	0.374	0.1	4.043514992206264e-167	HSC MPP	CPXM1
5.135662663816773e-103	2.036828648857302	0.263	0.077	1.9285954001431128e-98	HSC MPP	NECTIN2
1.8070163489619142e-45	2.033198610217217	0.15	0.05	6.785888495256677e-41	HSC MPP	RPP25
7.688700767226373e-45	2.032065905085785	0.13	0.04	2.88733779911652e-40	HSC MPP	PTGS2
2.4938240181753903e-83	2.0279606870005704	0.286	0.102	9.365057335454044e-79	HSC MPP	GRB10
2.2057241324924777e-186	2.0248927288806375	0.127	0.012	8.283155834749002e-182	HSC MPP	SPP1
1.8465169091484262e-64	2.0185870956551764	0.156	0.043	6.934224948925085e-60	HSC MPP	B3GNT8
2.2470420774570823e-34	2.016288836232792	0.103	0.032	8.438317113474582e-30	HSC MPP	IFIT1
3.7605173162041796e-118	2.014177945659584	0.31	0.093	1.4121870677541555e-113	HSC MPP	DNAH14
1.9262723509643852e-112	2.008770056236723	0.379	0.14	7.233730559576555e-108	HSC MPP	BCAT1
2.350501477694008e-75	2.0032922991988484	0.111	0.021	8.82683819918431e-71	HSC MPP	TGFB1I1
1.8025762669558005e-79	1.995098053282736	0.162	0.039	6.769214655299118e-75	HSC MPP	KCNK17
1.54272368933121e-169	1.9942623601507183	0.346	0.088	5.793390270545493e-165	HSC MPP	IL1B
5.500731778827815e-50	1.9885654962040555	0.103	0.025	2.0656898049032094e-45	HSC MPP	PIEZO2
2.5665706225184328e-48	1.9789801100406885	0.149	0.048	9.63824265874347e-44	HSC MPP	AL512625.3
7.025724851094465e-47	1.9772632336455525	0.197	0.076	2.6383704533315044e-42	HSC MPP	TMEM220
1.2788588786727576e-91	1.9768198386038558	0.339	0.13	4.802498747079807e-87	HSC MPP	IL18
2.6290354303337162e-93	1.9766536483424353	0.368	0.146	9.872816751532204e-89	HSC MPP	FAR2
1.6283902973120742e-78	1.9727783224472049	0.172	0.044	6.115094083496032e-74	HSC MPP	AC246787.2
2.8938330632496096e-89	1.9650073673155612	0.265	0.085	1.086721130242126e-84	HSC MPP	INKA1
5.4876215984709255e-155	1.961046494480963	0.388	0.114	2.0607665388737866e-150	HSC MPP	COL24A1
3.9871091970108495e-41	1.9579671069756581	0.102	0.028	1.4972791167534843e-36	HSC MPP	SHF
2.954605144082731e-96	1.9574903887316237	0.29	0.096	1.109542869757388e-91	HSC MPP	ICA1
3.548994352891216e-108	1.9417574340671289	0.272	0.079	1.3327538493412382e-103	HSC MPP	HOXA9
5.746842911636481e-35	1.940435731842745	0.102	0.031	2.158111918606848e-30	HSC MPP	IGSF10
3.376341353615042e-31	1.9402589545695863	0.105	0.035	1.2679174685230567e-26	HSC MPP	AC078881.1
6.066268752693258e-53	1.9392393940306976	0.18	0.062	2.2780659046988993e-48	HSC MPP	NAT14
1.563113736282358e-120	1.938131784870488	0.294	0.083	5.869961013861139e-116	HSC MPP	PPFIBP1
5.084277174179922e-141	1.9281102999539046	0.576	0.267	1.909298607219786e-136	HSC MPP	SEPTIN11
2.0763228127576373e-72	1.9268841358895954	0.254	0.091	7.797215058748756e-68	HSC MPP	CCDC171
2.341296841730112e-64	1.9266432158334688	0.26	0.1	8.792272029749089e-60	HSC MPP	H2AW
8.205491042980645e-30	1.9170340384235893	0.126	0.048	3.0814080513705216e-25	HSC MPP	ARNTL2
3.7753170811680666e-35	1.9148180662709307	0.127	0.044	1.417744823491044e-30	HSC MPP	CYYR1
8.76598759398571e-46	1.9136897020678807	0.125	0.037	3.2918913211694535e-41	HSC MPP	ZBTB46
1.132164998555275e-179	1.9088077499019405	0.705	0.364	4.251619219074624e-175	HSC MPP	MYADM
1.177695037153759e-101	1.9079060113536226	0.293	0.093	4.422598173023511e-97	HSC MPP	RHEX
2.2925313624809492e-104	1.9056518790376642	0.423	0.174	8.609143025524709e-100	HSC MPP	BMI1
5.997144494396321e-22	1.9020316292491541	0.104	0.042	2.2521076719806507e-17	HSC MPP	ZNRF3
1.556910498893144e-175	1.9009896629214955	0.473	0.151	5.846665996493424e-171	HSC MPP	JUP
1.659370967162701e-112	1.8991046296156915	0.366	0.128	6.231435792986091e-108	HSC MPP	FHL3
2.643311080049925e-56	1.8938724589233384	0.167	0.052	9.926426098911484e-52	HSC MPP	CRIP2
5.291079396920114e-33	1.889077374174483	0.146	0.057	1.9869590459254104e-28	HSC MPP	CMBL
5.96825346608287e-70	1.8886699740325168	0.266	0.097	2.2412582241181004e-65	HSC MPP	ZSCAN18
1.2611824083432868e-38	1.886490351681988	0.137	0.048	4.736118298051545e-34	HSC MPP	ABO
1.4676346706766682e-231	1.8842191058670075	0.713	0.295	5.5114084787920925e-227	HSC MPP	ARMH1
2.76001440798587e-15	1.88259529312394	0.114	0.057	1.0364682106309337e-10	HSC MPP	HOMEZ
3.32847087032922e-61	1.8724889722451454	0.12	0.028	1.249940665934732e-56	HSC MPP	MMP28
5.186449342706336e-50	1.8626146808782573	0.193	0.071	1.9476673216665104e-45	HSC MPP	PLTP
5.908001545596457e-301	1.8618044841479087	0.714	0.225	2.2186318204178375e-296	HSC MPP	H1-0
7.181226950926323e-181	1.8610383565926987	0.63	0.265	2.696766156881362e-176	HSC MPP	DDAH2
2.7326965856656193e-45	1.8577832248623802	0.197	0.078	1.02620954881501e-40	HSC MPP	ZNF667-AS1
5.019935704103874e-87	1.8576720335526633	0.371	0.153	1.885136454962128e-82	HSC MPP	FRMD4B
1.0169495216849079e-107	1.8551445974482	0.353	0.123	3.8189505387833345e-103	HSC MPP	PYGL
1.4045386499072785e-24	1.849934151485483	0.149	0.068	5.274463991996803e-20	HSC MPP	RAVER2
2.387929402498136e-44	1.8468398273182778	0.151	0.051	8.96739128520125e-40	HSC MPP	TMEM121
6.262236170142106e-79	1.8455633155307427	0.262	0.09	2.351657548973465e-74	HSC MPP	MEF2C-AS1
9.009868065275528e-110	1.8430099991708264	0.522	0.246	3.383475754552919e-105	HSC MPP	MLLT3
1.207242512444793e-34	1.840182869177322	0.101	0.031	4.533557806983931e-30	HSC MPP	DNM1
1.6176883019941058e-224	1.8375147805969565	0.504	0.141	6.074904880478466e-220	HSC MPP	ERG
7.823768145088355e-155	1.8340934980474302	0.506	0.19	2.93805965152503e-150	HSC MPP	GNA15
1.1814298869623174e-32	1.828655792391274	0.106	0.035	4.436623654509591e-28	HSC MPP	LAMC1
9.302211158214339e-27	1.8247170115636409	0.118	0.046	3.493259356244231e-22	HSC MPP	AL035446.2
2.151252688016114e-65	1.8231587671100398	0.156	0.042	8.078599219306913e-61	HSC MPP	TNNT1
4.320141445400891e-30	1.819547364246262	0.107	0.037	1.6223427169913964e-25	HSC MPP	ZC3H12C
9.347376794766622e-46	1.819522160649202	0.149	0.049	3.5102204077387097e-41	HSC MPP	RHPN1
1.6562611614187927e-143	1.8188873496434432	0.229	0.046	6.219757539475993e-139	HSC MPP	SELENOP
5.6712576376453e-38	1.8131183536589908	0.114	0.036	2.1297273806649393e-33	HSC MPP	TANC1
3.648100625729296e-16	1.813101129653368	0.105	0.049	1.3699712279801226e-11	HSC MPP	PODXL2
6.762699387197333e-44	1.802527328289802	0.202	0.081	2.5395965008742144e-39	HSC MPP	SFXN3
6.737002324965345e-60	1.7987875954273893	0.236	0.089	2.529946483094236e-55	HSC MPP	TRIP6
3.501706993286566e-55	1.7979212074874724	0.201	0.071	1.314996027188904e-50	HSC MPP	ATP1B1
4.021494754321798e-78	1.7909777083241314	0.278	0.1	1.510191925090465e-73	HSC MPP	DENND6B
7.888706795065954e-51	1.7851039934237307	0.238	0.098	2.9624460627511176e-46	HSC MPP	LZTS2
5.025808955728615e-27	1.7812467410338226	0.116	0.045	1.887342037144767e-22	HSC MPP	TUSC1
2.6555719792367903e-63	1.7807432895192292	0.267	0.106	9.97246945362792e-59	HSC MPP	OAF
8.091793923109863e-117	1.7801228364272659	0.365	0.123	3.0387113719454467e-112	HSC MPP	EMID1
8.66750091701108e-22	1.7748018993299652	0.103	0.042	3.2549066193651704e-17	HSC MPP	BACE1
5.586319658221262e-173	1.7741263950188624	0.237	0.043	2.0978306212518304e-168	HSC MPP	ESAM
4.747431045990649e-26	1.7555290506297578	0.141	0.062	1.7828027807008686e-21	HSC MPP	TCEAL9
5.405457640091438e-25	1.7512743394576935	0.1	0.037	2.0299115075835376e-20	HSC MPP	AC053527.2
1.0988350855275454e-30	1.7489431826107162	0.112	0.039	4.1264553966815915e-26	HSC MPP	RHOBTB1
5.687249723882415e-34	1.7466387909366317	0.118	0.04	2.1357328888095633e-29	HSC MPP	WWC2
1.7998084461014253e-79	1.7457094781001044	0.209	0.06	6.758820657644683e-75	HSC MPP	GPAT3
6.879933747944756e-30	1.7412805766479107	0.105	0.036	2.583621520365694e-25	HSC MPP	EGLN3
5.827346688213314e-100	1.7399905549541832	0.422	0.175	2.1883435018247456e-95	HSC MPP	LMNA
3.905347219931939e-26	1.7388564880195239	0.12	0.048	1.4665750415010412e-21	HSC MPP	DISC1FP1
1.873332689658256e-17	1.7338302551460834	0.136	0.069	7.034926249473648e-13	HSC MPP	HCG11
3.18904642762097e-38	1.7337885591338598	0.117	0.037	1.1975826049645028e-33	HSC MPP	AC104389.5
6.82331045614563e-50	1.7320187648053191	0.278	0.127	2.5623577755963685e-45	HSC MPP	NTHL1
1.4023181001199708e-76	1.7308520368238178	0.331	0.134	5.266125161380527e-72	HSC MPP	SLC25A29
1.9689055902533864e-20	1.7279663434362191	0.162	0.082	7.393831163078542e-16	HSC MPP	SCML2
4.034432835262432e-111	1.7270459946677519	0.398	0.147	1.5150505626261009e-106	HSC MPP	ISYNA1
1.3192223434621538e-57	1.724677802366669	0.246	0.096	4.954075666403426e-53	HSC MPP	CD109
4.1712125974002966e-24	1.7221303661927152	0.11	0.043	1.5664154667017334e-19	HSC MPP	AL049834.1
3.690348152620143e-92	1.7208723588935162	0.403	0.169	1.3858364417534424e-87	HSC MPP	PLAGL1
7.79967112155963e-62	1.719225565393438	0.201	0.067	2.929010496279288e-57	HSC MPP	DNMT3B
1.192335471318165e-53	1.7169298008387144	0.184	0.063	4.477577395441105e-49	HSC MPP	BSPRY
5.082768971317925e-26	1.7161210612510285	0.166	0.077	1.9087322317990205e-21	HSC MPP	SOX12
7.993527258643747e-40	1.7153843128883273	0.178	0.071	3.0018092914384865e-35	HSC MPP	B3GNT5
2.1985193543453865e-51	1.7152867732508752	0.233	0.095	8.25609973137323e-47	HSC MPP	QPRT
1.754575389780724e-51	1.7134648747268184	0.14	0.041	6.588956961243553e-47	HSC MPP	STAR
0	4.179458895332589	0.307	0.028	0	MEP	ZNF385D
2.090043777984937e-236	3.604315318400771	0.214	0.028	7.848741399466834e-232	MEP	XACT
3.5523414659597905e-208	3.5684421433559907	0.122	0.01	1.33401079071188e-203	MEP	AMHR2
3.683579146852362e-139	3.1473730715692225	0.12	0.014	1.3832944770174676e-134	MEP	PRKG2
0	3.13628861653926	0.321	0.043	0	MEP	CNRIP1
1.6310859033306554e-104	2.921946566224179	0.134	0.023	6.12521689277761e-100	MEP	RYR3
0	2.909821848037036	0.496	0.103	0	MEP	CKB
0	2.9089349789634884	0.541	0.088	0	MEP	GATA2
0	2.908110516212074	0.271	0.031	0	MEP	AL157895.2
0	2.904082713704292	0.376	0.065	0	MEP	HPGDS
4.30433023298443e-87	2.882765199359268	0.12	0.022	1.616405132392643e-82	MEP	SPTBN2
4.5419808144090356e-105	2.865642050062252	0.138	0.024	1.7056500552350252e-100	MEP	PIEZO2
1.5686084409831853e-93	2.8628818856902445	0.125	0.022	5.890595278424156e-89	MEP	LINC02573
1.291886941380878e-214	2.832867635035263	0.326	0.067	4.851423030967611e-210	MEP	CAVIN1
4.699754776287685e-103	2.8168985003298808	0.179	0.04	1.7648989111393145e-98	MEP	STAR
8.089686078546385e-254	2.7639106120769843	0.435	0.104	3.037919813076524e-249	MEP	CYTL1
5.8614889038485325e-83	2.7222719830657383	0.115	0.021	2.2011649280622396e-78	MEP	AC069410.1
2.808290865540843e-87	2.7002533451157773	0.121	0.022	1.0545974687365528e-82	MEP	SVOPL
5.47154155178462e-133	2.6996912791335497	0.164	0.027	2.0547279989416783e-128	MEP	DYTN
1.1069952420368067e-160	2.6850979510946407	0.276	0.062	4.15709923242082e-156	MEP	DEPTOR
4.8784355812374444e-265	2.6521890537740243	0.364	0.068	1.8319989138220974e-260	MEP	FCER1A
1.5144743762621092e-192	2.6376971632647024	0.352	0.085	5.687305625177099e-188	MEP	CRACD
2.768273546006991e-215	2.636404476543629	0.463	0.135	1.0395697647320055e-210	MEP	SLC40A1
7.728249751725414e-175	2.6235361123960548	0.294	0.065	2.9021896292654447e-170	MEP	ALDH1A1
7.698294255580134e-168	2.618498799156449	0.316	0.076	2.8909404417980076e-163	MEP	NPR3
3.2982898588366015e-112	2.602029976320559	0.207	0.048	1.238606790688909e-107	MEP	MYCN
1.1527205754748828e-127	2.581305234962813	0.209	0.044	4.3288115770808276e-123	MEP	CYP7B1
4.613365467216213e-72	2.5510070383905967	0.112	0.022	1.7324571339037044e-67	MEP	DPP10
